TABLE_NAME,COLUMN_NAME,DATA_TYPE
admins,admin_id,int
admins,user_id,int
admins,created_at,timestamp
announcement_campaign_recipients,id,int
announcement_campaign_recipients,campaign_id,int
announcement_campaign_recipients,patient_id,int
announcement_campaign_recipients,is_read,tinyint
announcement_campaign_recipients,created_at,timestamp
announcement_campaign_recipients,read_at,timestamp
announcement_campaigns,campaign_id,int
announcement_campaigns,doctor_id,int
announcement_campaigns,message,text
announcement_campaigns,target_mode,varchar
announcement_campaigns,target_date,date
announcement_campaigns,created_at,timestamp
appointment,appointment_id,int
appointment,patient_id,int
appointment,doctor_id,int
appointment,clinic_id,int
appointment,admin_id,int
appointment,status,enum
appointment,created_at,timestamp
appointment,start_time,time
appointment,end_time,time
appointment,appointment_date,date
appointment,cancelled_by,varchar
appointment,rescheduled_by,varchar
appointment,notify_telegram_chat_id,bigint
appointment_notification_log,appointment_id,int
appointment_notification_log,event_type,varchar
appointment_notification_log,channel,varchar
appointment_notification_log,status,varchar
appointment_notification_log,meta_json,json
appointment_notification_log,admin_id,int
appointment_notification_log,created_at,timestamp
appointment_notification_log,notification_id,int
appointment_notification_log,destination,varchar
appointment_notification_log,error_text,varchar
appointment_notification_log,sent_at,timestamp
appointment_notification_log,attempt_count,int
appointment_notification_log,dead_at,datetime
appointment_notification_log,dead_reason,text
appointment_notification_log,delivery_status,varchar
appointment_notification_log,delivery_updated_at,datetime
appointment_notification_log,lock_owner,varchar
appointment_notification_log,locked_at,datetime
appointment_notification_log,next_retry_at,datetime
appointment_notification_log,provider_message_sid,varchar
chat_messages,message_id,int
chat_messages,patient_id,int
chat_messages,doctor_id,int
chat_messages,sender,varchar
chat_messages,content,text
chat_messages,is_read,tinyint
chat_messages,created_at,timestamp
clinics,clinic_id,int
clinics,clinic_name,varchar
clinics,phone,varchar
clinics,status,enum
clinics,admin_id,int
clinics,doctor_id,int
clinics,location,varchar
conversation_sessions,user_id,varchar
conversation_sessions,state,varchar
conversation_sessions,context_json,text
conversation_sessions,response_language,varchar
conversation_sessions,language_locked,tinyint
conversation_sessions,language_turn_count,int
conversation_sessions,init_unclear_count,int
conversation_sessions,in_edit_flow,tinyint
conversation_sessions,doctor_id,int
conversation_sessions,admin_id,int
conversation_sessions,updated_at,timestamp
conversation_sessions,fsm_extra_json,text
doctor_cache_invalidation_queue,queue_id,bigint
doctor_cache_invalidation_queue,entity_type,varchar
doctor_cache_invalidation_queue,doctor_id,int
doctor_cache_invalidation_queue,clinic_id,int
doctor_cache_invalidation_queue,admin_id,int
doctor_cache_invalidation_queue,slot_date,date
doctor_cache_invalidation_queue,slot_time,varchar
doctor_cache_invalidation_queue,old_doctor_id,int
doctor_cache_invalidation_queue,old_clinic_id,int
doctor_cache_invalidation_queue,old_admin_id,int
doctor_cache_invalidation_queue,old_slot_date,date
doctor_cache_invalidation_queue,old_slot_time,varchar
doctor_cache_invalidation_queue,old_status,varchar
doctor_cache_invalidation_queue,new_status,varchar
doctor_cache_invalidation_queue,status,varchar
doctor_cache_invalidation_queue,lock_owner,varchar
doctor_cache_invalidation_queue,locked_at,datetime
doctor_cache_invalidation_queue,created_at,timestamp
doctor_cache_invalidation_queue,updated_at,timestamp
doctor_clinic_schedule,schedule_id,int
doctor_clinic_schedule,doctor_id,int
doctor_clinic_schedule,clinic_id,int
doctor_clinic_schedule,admin_id,int
doctor_clinic_schedule,start_time,varchar
doctor_clinic_schedule,end_time,varchar
doctor_clinic_schedule,slot_duration,int
doctor_clinic_schedule,day_of_week,tinyint
doctor_clinic_schedule,effective_from,date
doctor_clinic_schedule,effective_to,date
doctor_leaves,leave_id,int
doctor_leaves,doctor_id,int
doctor_leaves,admin_id,int
doctor_leaves,leave_date,date
doctor_leaves,start_time,time
doctor_leaves,end_time,time
doctor_leaves,reason,varchar
doctor_remainder_queue,queue_id,int
doctor_remainder_queue,doctor_id,int
doctor_remainder_queue,schedule_id,int
doctor_remainder_queue,admin_id,int
doctor_remainder_queue,slot_date,date
doctor_remainder_queue,schedule_start_time,time
doctor_remainder_queue,schedule_end_time,time
doctor_remainder_queue,channel,varchar
doctor_remainder_queue,destination,varchar
doctor_remainder_queue,status,varchar
doctor_remainder_queue,attempt_count,int
doctor_remainder_queue,next_retry_at,datetime
doctor_remainder_queue,last_error,varchar
doctor_remainder_queue,dedup_key,varchar
doctor_remainder_queue,created_at,timestamp
doctor_remainder_queue,updated_at,timestamp
doctor_remainder_queue,sent_at,timestamp
doctor_remainder_queue,lead_minutes,int
doctor_whatsapp_numbers,id,int
doctor_whatsapp_numbers,doctor_id,int
doctor_whatsapp_numbers,whatsapp_number,varchar
doctor_whatsapp_numbers,is_primary,tinyint
doctor_whatsapp_numbers,created_at,timestamp
doctor_whatsapp_numbers,chat_id,bigint
doctor_whatsapp_numbers,username,varchar
doctors,doctor_id,int
doctors,doctor_name,varchar
doctors,phone,varchar
doctors,status,enum
doctors,admin_id,int
doctors,user_id,int
doctors,whatsapp_number,varchar
doctors,specialization,varchar
doctors,acceptDays,int
doctors,chat_id,bigint
doctors,username,varchar
inbound_message_sids,message_sid,varchar
inbound_message_sids,user_id,varchar
inbound_message_sids,body,text
inbound_message_sids,received_at,timestamp
inbound_turn_queue,queue_id,bigint
inbound_turn_queue,inbound_sid,varchar
inbound_turn_queue,from_number,varchar
inbound_turn_queue,body,text
inbound_turn_queue,pre_state,varchar
inbound_turn_queue,status,varchar
inbound_turn_queue,attempt_count,int
inbound_turn_queue,next_retry_at,datetime
inbound_turn_queue,locked_at,datetime
inbound_turn_queue,lock_owner,varchar
inbound_turn_queue,last_error,text
inbound_turn_queue,dead_at,datetime
inbound_turn_queue,dead_reason,text
inbound_turn_queue,created_at,timestamp
inbound_turn_queue,updated_at,timestamp
message_delivery_status,delivery_id,bigint
message_delivery_status,provider,varchar
message_delivery_status,provider_message_sid,varchar
message_delivery_status,channel,varchar
message_delivery_status,message_status,varchar
message_delivery_status,to_number,varchar
message_delivery_status,from_number,varchar
message_delivery_status,error_code,varchar
message_delivery_status,error_message,text
message_delivery_status,payload_json,text
message_delivery_status,created_at,timestamp
message_delivery_status,updated_at,timestamp
patient_whatsapp_numbers,id,int
patient_whatsapp_numbers,patient_id,int
patient_whatsapp_numbers,whatsapp_number,varchar
patient_whatsapp_numbers,is_primary,tinyint
patient_whatsapp_numbers,created_at,timestamp
patient_whatsapp_numbers,chat_id,bigint
patient_whatsapp_numbers,username,varchar
patients,patient_id,int
patients,full_name,varchar
patients,admin_id,int
patients,doctor_id,int
patients,phone,varchar
patients,booking_id,int
patients,telegram_chat_id,varchar
patients,patient_count,int
patients,age,int
patients,gender,varchar
patients,password,varchar
qr_walkin_queue,queue_id,bigint
qr_walkin_queue,admin_id,bigint
qr_walkin_queue,doctor_id,bigint
qr_walkin_queue,clinic_id,bigint
qr_walkin_queue,patient_name,varchar
qr_walkin_queue,phone,varchar
qr_walkin_queue,queue_date,date
qr_walkin_queue,queue_position,int
qr_walkin_queue,estimated_time,datetime
qr_walkin_queue,status,varchar
qr_walkin_queue,source_channel,varchar
qr_walkin_queue,created_at,timestamp
qr_walkin_queue,updated_at,timestamp
user_tokens,token_hash,char
user_tokens,user_id,int
user_tokens,expires_at,datetime
user_tokens,revoked,tinyint
user_tokens,created_at,timestamp
users,user_id,int
users,name,varchar
users,email,varchar
users,password,varchar
users,role,enum
users,created_at,timestamp
